location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day,pollution_source
Delhi,28.7041,77.1025,78,136,29,162,16,11,2026-03-29 18:33:27.717191,24,72,1.0729661723986177,26,18,29,Mixed
Jammu and Kashmir,34.0837,74.7973,88,36,44,201,30,20,2026-03-29 18:33:27.717572,24,72,1.0729661723986177,26,18,29,Vehicular
Hyderabad,17.385,78.4867,114,138,17,235,14,68,2026-03-29 18:33:27.717970,24,72,1.0729661723986177,26,18,29,Agricultural
Bangalore,12.9716,77.5946,41,68,35,182,30,60,2026-03-29 18:33:27.718370,24,72,1.0729661723986177,26,18,29,Vehicular
Visakhapatnam,17.6868,83.2185,22,57,37,369,20,65,2026-03-29 19:33:27.716395,23,82,6.809524328141545,0,19,29,Vehicular
Mumbai,19.076,72.8777,76,96,5,161,6,19,2026-03-29 19:33:27.716798,23,82,6.809524328141545,0,19,29,Mixed
Delhi,28.7041,77.1025,118,51,9,179,5,73,2026-03-29 19:33:27.717186,23,82,6.809524328141545,0,19,29,Agricultural
Jammu and Kashmir,34.0837,74.7973,84,82,27,255,27,43,2026-03-29 19:33:27.717567,23,82,6.809524328141545,0,19,29,Industrial
Hyderabad,17.385,78.4867,88,130,18,240,14,10,2026-03-29 19:33:27.717965,23,82,6.809524328141545,0,19,29,Agricultural
Bangalore,12.9716,77.5946,51,61,23,160,8,55,2026-03-29 19:33:27.718361,23,82,6.809524328141545,0,19,29,Natural
Visakhapatnam,17.6868,83.2185,23,135,9,394,29,50,2026-03-29 20:33:27.716372,22,90,6.745125371671734,90,20,29,Industrial
Mumbai,19.076,72.8777,117,56,39,340,9,55,2026-03-29 20:33:27.716792,22,90,6.745125371671734,90,20,29,Vehicular
Delhi,28.7041,77.1025,42,138,25,208,23,51,2026-03-29 20:33:27.717181,22,90,6.745125371671734,90,20,29,Industrial
Jammu and Kashmir,34.0837,74.7973,46,50,25,370,9,40,2026-03-29 20:33:27.717561,22,90,6.745125371671734,90,20,29,Mixed
Hyderabad,17.385,78.4867,72,82,17,241,2,59,2026-03-29 20:33:27.717959,22,90,6.745125371671734,90,20,29,Natural
Bangalore,12.9716,77.5946,63,96,16,302,8,77,2026-03-29 20:33:27.718355,22,90,6.745125371671734,90,20,29,Natural
